"Gen","PC1","PC2","cluster"
"AGRP",0.0661860353467619,0.0899423170333678,"1"
"BDNF",0.00384214047918317,0.183773632393785,"1"
"CADM2",-0.00939317614120291,0.326466155482545,"1"
"CALCR",-0.00420317126870407,0.0505252028657163,"1"
"GIPR",0.0831300758363142,0.0684537373599,"1"
"GPR75",-0.117398355227282,0.0742923625982817,"1"
"KSR2",-0.0655929789848391,0.25988164505615,"1"
"LEP",-0.146920159371211,0.227678864079703,"1"
"NTRK2",-0.145007687849453,0.335408456391518,"1"
"ROBO1",-0.0538776347431564,0.166124360193271,"1"
"TMEM18",0.130048362648451,0.200028880941487,"1"
"UHMK1",0.0938908114069885,0.214605877116486,"1"
"ADCY3",0.331292762473093,-0.0862954120098916,"2"
"ANO4",0.364328907337163,-0.0304607911508793,"2"
"CNR1",0.0896630338019061,-0.0411498207219532,"2"
"DPP9",0.142210925193624,-0.0516890056743176,"2"
"KIAA1109",0.170859727481931,-0.139240328803694,"2"
"LEPR",0.335451095377073,0.0581098425032003,"2"
"PCSK1",0.291895331804935,-0.136487457817606,"2"
"POMC",0.372695056751136,-0.039034225640284,"2"
"SH2B1",0.2694799291082,-0.0108758351584137,"2"
"SPARC",0.0661514780561994,-0.0186475788502136,"2"
"ANKRD27",-0.149106094127557,-0.172087439885961,"3"
"CADM1",-0.0852415712373877,-0.0833824636387188,"3"
"CREBRF",0.00546391020761375,-0.10415083380279,"3"
"FTO",-0.0862294900722338,-0.248789972485848,"3"
"GPR151",-0.132205253799402,-0.210273040475164,"3"
"KIAA0586",0.0535876184822827,-0.247240548891496,"3"
"MC4R",-0.224963430192841,-0.146618752072165,"3"
"MRAP2",0.0165598001376262,-0.016123846052212,"3"
"NRP1",0.000116319921805205,-0.278249309696217,"3"
"NRP2",-0.0872660358907559,-0.0504985272322716,"3"
"PDE3B",-0.152634272874351,-0.0418342633261748,"3"
"PHIP",-0.0595769647799236,-0.249875745446731,"3"
"PPARG",-0.0778778662402775,-0.107874890028831,"3"
"SIM1",-0.151328266540251,-0.186258238008768,"3"
"UBR2",-0.118580949874882,-0.101177131942789,"3"
