"","PC1","PC2","PC3","PC4","PC5","PC6"
"ADCY3",0.344,-0.151,0.193,-0.027,0.196,-0.023
"AGRP",0.086,0.165,0.079,0.253,-0.262,-0.202
"ANKRD27",-0.375,-0.326,-0.022,-0.407,0.006,-0.024
"ANO4",0.296,0.016,-0.014,0.158,-0.21,-0.243
"BDNF",0.197,0.292,0.031,0.08,0.278,-0.274
"CADM1",-0.221,-0.076,-0.035,0.182,-0.305,0.384
"CADM2",0.189,0.571,0.117,0.286,0.139,0.102
"CALCR",0.229,0.058,0.124,0.273,-0.265,0.213
"CNR1",0.14,0,-0.227,-0.226,-0.261,-0.005
"CREBRF",0.135,-0.19,0.527,0.068,0.183,0.197
"DPP9",0.285,-0.104,0.171,0.453,0.497,-0.069
"FTO",-0.125,-0.377,0.512,-0.109,0.308,-0.057
"GIPR",0.176,0.175,0.222,0.067,0.344,0.515
"GPR151",-0.427,-0.437,-0.092,-0.265,-0.117,0.066
"GPR75",-0.309,0.153,-0.129,-0.072,-0.019,-0.419
"KIAA0586",0.079,-0.331,-0.444,0.36,-0.04,0.205
"KIAA1109",0.124,-0.304,0.236,-0.172,-0.235,0.285
"KSR2",-0.061,0.342,0.266,-0.365,-0.218,0.3
"LEP",-0.008,0.355,0.168,-0.17,0.287,-0.01
"LEPR",0.386,0.176,-0.112,-0.243,0.045,-0.163
"MC4R",-0.342,-0.164,0.146,0.407,0.039,-0.274
"MRAP2",0.192,-0.021,-0.366,0.118,0.177,-0.121
"NRP1",-0.11,-0.435,-0.185,0.145,0.148,0.232
"NRP2",-0.201,-0.087,0.164,0.213,-0.243,-0.329
"NTRK2",-0.105,0.617,0.053,-0.16,0.059,-0.039
"PCSK1",0.102,-0.281,0.018,-0.074,-0.02,0.138
"PDE3B",-0.306,-0.183,0.137,0.077,-0.332,0.184
"PHIP",-0.162,-0.44,0.438,-0.181,0.14,-0.046
"POMC",0.425,-0.063,0.176,0.114,0.126,0.079
"PPARG",-0.239,-0.163,-0.204,-0.32,0.118,0.078
"ROBO1",-0.221,0.183,0.149,-0.617,-0.157,0.17
"SH2B1",0.252,0.015,0.372,-0.059,-0.01,-0.208
"SIM1",-0.248,-0.331,0.175,-0.054,0.263,-0.101
"SPARC",0.117,-0.067,-0.361,-0.051,0.188,0.329
"TMEM18",0.264,0.276,0.379,0.137,-0.056,0.163
"UBR2",-0.249,-0.114,0.27,-0.097,-0.186,-0.073
"UHMK1",0.203,0.371,-0.023,-0.062,-0.05,-0.13
