"Componente","Valor_propio","R2_pct","R2_acum_pct"
"PC1",4.618,12.48,12.48
"PC2",3.168,8.56,21.04
"PC3",2.415,6.53,27.57
"PC4",2.269,6.13,33.7
"PC5",1.982,5.36,39.06
"PC6",1.809,4.89,43.94
"PC7",1.745,4.72,48.66
"PC8",1.495,4.04,52.7
"PC9",1.467,3.96,56.67
"PC10",1.365,3.69,60.36
"PC11",1.245,3.36,63.72
"PC12",1.199,3.24,66.96
"PC13",1.091,2.95,69.91
"PC14",1.064,2.88,72.79
"PC15",0.926,2.5,75.29
"PC16",0.898,2.43,77.72
"PC17",0.869,2.35,80.06
"PC18",0.811,2.19,82.26
"PC19",0.743,2.01,84.26
"PC20",0.686,1.85,86.12
"PC21",0.656,1.77,87.89
"PC22",0.588,1.59,89.48
"PC23",0.53,1.43,90.92
"PC24",0.482,1.3,92.22
"PC25",0.429,1.16,93.38
"PC26",0.387,1.05,94.42
"PC27",0.331,0.9,95.32
"PC28",0.305,0.82,96.14
"PC29",0.273,0.74,96.88
"PC30",0.24,0.65,97.53
"PC31",0.227,0.62,98.15
"PC32",0.191,0.52,98.66
"PC33",0.148,0.4,99.06
"PC34",0.119,0.32,99.38
"PC35",0.092,0.25,99.63
"PC36",0.083,0.22,99.86
"PC37",0.053,0.14,100
