"modelo","term","OR (IC95%)","p"
"Modelo 1 (crudo)","PC1_tT2","1.19 (0.30-4.78)","0.800"
"Modelo 1 (crudo)","PC1_tT3","1.31 (0.34-5.23)","0.693"
"Modelo 1 (crudo)","PC2_tT2","0.52 (0.13-2.01)","0.346"
"Modelo 1 (crudo)","PC2_tT3","0.24 (0.05-0.92)","0.044"
"Modelo 1 (crudo)","PC3_tT2","2.45 (0.65-9.94)","0.193"
"Modelo 1 (crudo)","PC3_tT3","0.97 (0.24-3.91)","0.965"
"Modelo 2 (+edad+sexo)","PC1_tT2","1.29 (0.31-5.60)","0.725"
"Modelo 2 (+edad+sexo)","PC1_tT3","1.33 (0.31-5.97)","0.698"
"Modelo 2 (+edad+sexo)","PC2_tT2","0.58 (0.13-2.42)","0.455"
"Modelo 2 (+edad+sexo)","PC2_tT3","0.26 (0.04-1.41)","0.132"
"Modelo 2 (+edad+sexo)","PC3_tT2","2.34 (0.57-10.52)","0.247"
"Modelo 2 (+edad+sexo)","PC3_tT3","0.67 (0.14-2.98)","0.600"
"Modelo 2 (+edad+sexo)","edad_anios","1.04 (1.01-1.08)","0.032"
"Modelo 2 (+edad+sexo)","sexoMasculino","1.10 (0.18-6.93)","0.914"
"Modelo 3 (+confusoras)","PC1_tT2","2.79 (0.50-17.98)","0.252"
"Modelo 3 (+confusoras)","PC1_tT3","0.62 (0.10-3.47)","0.590"
"Modelo 3 (+confusoras)","PC2_tT2","0.37 (0.07-1.79)","0.229"
"Modelo 3 (+confusoras)","PC2_tT3","0.20 (0.02-1.38)","0.120"
"Modelo 3 (+confusoras)","PC3_tT2","2.55 (0.50-14.58)","0.268"
"Modelo 3 (+confusoras)","PC3_tT3","0.53 (0.09-2.67)","0.450"
"Modelo 3 (+confusoras)","edad_anios","1.04 (1.00-1.08)","0.088"
"Modelo 3 (+confusoras)","sexoMasculino","0.83 (0.10-6.43)","0.855"
"Modelo 3 (+confusoras)","carnes_g_d","1.03 (1.01-1.06)","0.015"
"Modelo 3 (+confusoras)","bolleria_industrial_g_d","0.98 (0.96-1.00)","0.106"
